timestamp,employer,location,job_title,years_at_employer,years_of_experience,salary,signing_bonus,annual_bonus,annual_stock_bonus,gender,additional_comments
2016-03-21 12:59:00,Vertical Knowledge,"Cleveland, OH",Software Engineer,1.0,4.0,86000.0,5000.0,6000.0,0.0,Male,
2016-03-21 13:00:00,NetApp,Waltham,MTS,0.0,4.0,105000.0,5000.0,8500.0,0.0,Male,
2016-03-21 13:01:00,,"Copenhagen, Denmark",Software Developer,1.0,2.0,90500.0,0.0,0.0,0.0,Male,Finance
2016-03-21 13:02:00,Apple,Cupertino,Software Engineer,3.0,4.0,110000.0,5000.0,7000.0,150000.0,Male,
2016-03-21 13:03:00,Knewton,New York City,Senior software engineer,2.0,8.0,135000.0,0.0,0.0,0.0,Male,
2016-03-21 13:04:00,Amplify,NYC,Software Engineer,1.0,2.0,105000.0,0.0,47000.0,0.0,Male,
2016-03-21 13:04:00,,"Seattle, WA",Software Engineer,1.0,9.0,95000.0,0.0,0.0,0.0,Male,
2016-03-21 13:04:00,ThoughtWorks,Chicago,"Software Developer, Consultant",2.0,2.0,78000.0,0.0,0.0,0.0,Male,
2016-03-21 13:04:00,,"Los Angeles, CA",Lead Software Engineer,3.0,5.0,115000.0,0.0,0.0,0.0,Male,
2016-03-21 13:05:00,,Remote (US),Infrastructure Engineer,3.0,12.0,110000.0,10000.0,10000.0,15000.0,Male,
2016-03-21 13:05:00,,"Scottsdale, AZ",Senior Application Architect,10.0,12.0,150000.0,0.0,25000.0,0.0,Male,
2016-03-21 13:05:00,Small B2B Company,Minneapolis,Analyst,1.0,4.0,63000.0,0.0,2000.0,0.0,Male,
2016-03-21 13:05:00,Small B2B Company,Minneapolis,Analyst,1.0,4.0,63000.0,0.0,2000.0,0.0,Male,
2016-03-21 13:05:00,Slalom,Seattle,Senior Engineer,1.0,5.0,93000.0,0.0,15000.0,0.0,Male,
2016-03-21 13:06:00,,,Management Consultant,4.0,10.0,225000.0,100000.0,60000.0,0.0,Male,
2016-03-21 13:06:00,,"Upstate, NY",Developer,4.0,4.0,54000.0,0.0,0.0,0.0,Male,
2016-03-21 13:06:00,Klick Inc.,"Toronto, Canada",Full Stack Developer,3.0,5.0,85000.0,0.0,5000.0,0.0,Male,
2016-03-21 13:07:00,,"Orlando, FL",Sr Software Engineer,2.0,5.0,80000.0,0.0,0.0,0.0,Male,
2016-03-21 13:07:00,30 person startup,San Francisco,Software Engineer,2.0,5.0,125000.0,0.0,0.0,0.0,Male,options were granted but have no real monetary value
2016-03-21 13:08:00,,New York City,Senior Developer,3.0,21.0,134000.0,0.0,0.0,0.0,Male,
2016-03-21 13:08:00,,San Francisco,Engineering Manager,2.0,9.0,176000.0,0.0,10.0,0.0,Male,
2016-03-21 13:08:00,Quick Left,Boulder CO,Senior Developer,1.0,6.0,120000.0,0.0,0.0,500.0,Male,
2016-03-21 13:08:00,,,Full-Stack Engineer,6.0,7.0,75000.0,0.0,0.0,0.0,Male,
2016-03-21 13:09:00,,"Sacramento, CA",Senior Software Engineer,8.0,9.0,130000.0,0.0,10000.0,0.0,Male,
2016-03-21 13:10:00,Startup,"Detroit, MI",Senior Engineer,3.0,8.0,100000.0,0.0,0.0,80000.0,Male,
2016-03-21 13:10:00,,"Ithaca, NY",Software Engineer,0.0,3.0,78000.0,1500.0,4000.0,0.0,Male,
2016-03-21 13:10:00,,New York City,Applications Developer,1.0,2.0,98000.0,0.0,10000.0,0.0,Male,Finance-Buy Side
2016-03-21 13:10:00,,Northern VA,Development Engineer,4.0,4.0,93000.0,2500.0,4000.0,0.0,Male,
2016-03-21 13:11:00,City of Austin,"Austin, Tx",IT Programmer,15.0,40.0,103000.0,0.0,1500.0,0.0,Male,
2016-03-21 13:11:00,,"Vancouver, BC",Developer,3.0,6.0,100000.0,0.0,0.0,10000.0,Male,
2016-03-21 13:11:00,,"Copenhagen, Denmark",CTO,3.0,13.0,108500.0,0.0,0.0,0.0,Male,
2016-03-21 13:12:00,Freelance,"Denver, CO",Software Engineer,11.0,20.0,190000.0,0.0,0.0,0.0,Male,Estimated - bill @ $145-180/hr; don't work year-round.
2016-03-21 13:12:00,.gov,"Albany, NY",Architect,16.0,18.0,119000.0,0.0,2000.0,0.0,Male,
2016-03-21 13:13:00,Self-Employed,"Jersey City, NJ","Consultant, CTO as needed",1.0,8.0,325000.0,0.0,0.0,0.0,Male,
2016-03-21 13:13:00,Financial sector,"Bristol, UK",Software analyst,1.0,2.0,23000.0,0.0,500.0,0.0,Male,
2016-03-21 13:13:00,,"Boston, MA",Software Architect,1.0,6.0,145000.0,5000.0,0.0,0.0,Male,
2016-03-21 13:13:00,Comcast,"Philadelphia, PA",Python Engineer,1.0,5.0,138000.0,0.0,0.0,0.0,Male,"W2 Contractor, 70$/hr."
2016-03-21 13:13:00,,"Washington, USA",Senior Software Engineer,0.0,14.0,130000.0,0.0,0.0,0.0,Male,
2016-03-21 13:14:00,Small B2B Company,"Barcelona, Spain",System Administrator,10.0,10.0,1575.0,0.0,3000.0,0.0,Male,
2016-03-21 13:14:00,,,Sr Engineer,1.0,15.0,140000.0,5000.0,15000.0,50000.0,Male,
2016-03-21 13:14:00,Startup,"San Francisco, CA",Software Engineer,1.0,2.5,100000.0,0.0,0.0,0.0,Male,Completed coding bootcamp in 2013
2016-03-21 13:14:00,,"Austin, TX",Software Engineer,2.0,4.0,115000.0,10000.0,11500.0,14000.0,Male,
2016-03-21 13:14:00,Cornell University,"Ithaca, NY",PhD student,4.0,4.0,28500.0,0.0,0.0,0.0,Male,
2016-03-21 13:15:00,Amazon,Seattle,Software Development Engineer,1.0,0.0,95000.0,22000.0,20000.0,52000.0,Male,
2016-03-21 13:15:00,,NYC,Programmer,1.0,3.5,90000.0,0.0,0.0,0.0,Male,
2016-03-21 13:15:00,Synopsys,San Francisco,"Software Engineer, Sr 1",2.0,3.0,115000.0,0.0,10000.0,5000.0,Male,
2016-03-21 13:16:00,,Boston,Software Developer,1.0,1.0,80000.0,0.0,0.0,0.0,Male,Web developer at a magazine / news site
2016-03-21 13:16:00,,"Boston, MA",Sr Software Engineer,1.0,5.0,115000.0,5000.0,8500.0,0.0,Male,
2016-03-21 13:17:00,B2B,NJ,Senior Developer,3.0,10.0,140000.0,0.0,10000.0,0.0,Male,
2016-03-21 13:17:00,Texas Tech University System,"Lubbock, TX",Programmer Analyst III,3.0,7.0,55000.0,0.0,0.0,0.0,Male,
2016-03-21 13:17:00,UNC-CH/NCSU Joint Biomedical Engr. Dept,"Raleigh, NC",Phd Student,1.0,4.0,24073.0,0.0,0.0,0.0,Male,NIH Paygrade covers Health+Tuition
2016-03-21 13:17:00,Investment Bank,"New York, NY",M&A Analyst,1.0,1.0,85000.0,15000.0,70000.0,0.0,Male,Soul sucking
2016-03-21 13:17:00,,"Portland, OR",Senior Software Engineer,1.0,7.0,95000.0,0.0,0.0,0.0,Male,
